"Open Seat ID","Client Name","Open Seat Title","Est Strt Dt","Candidate Track Type","Fulfillment Action","Fieldglass Flag","Flags"
"5514457","MOHAMMED ALI AL-SWAILEM CO.LTD..","SAP ABAP HANA","2026-07-07T04:57:11.767Z","Roll-off being pursued","Bench/Rolloff","N","EST Non Compliant"
"5548756","Shell UK - S/4 - SETI Rebuild project","Industry Consultant-Consulting Serv","2026-07-31T04:57:11.794Z","Actively recruiting","Challenged Seat - fulfillment delay offered","N","Comment Non Compliant | Mismatch in Track Type vs Fulfillment Action"
"5548757","Shell UK - S/4 - SETI Rebuild project","Industry Consultant-Consulting Serv","2026-07-31T04:57:11.794Z","Actively recruiting","Challenged Seat - fulfillment delay offered","N","Comment Non Compliant | Mismatch in Track Type vs Fulfillment Action"
"5548759","Shell UK - S/4 - SETI Rebuild project","Industry Consultant-Consulting Serv","2026-07-31T04:57:11.794Z","Actively recruiting","External hire","N","Comment Non Compliant"
"5548760","Shell UK - S/4 - SETI Rebuild project","Industry Consultant-Consulting Serv","2026-07-31T04:57:11.794Z","Actively recruiting","Challenged Seat - fulfillment delay offered","N","Comment Non Compliant | Mismatch in Track Type vs Fulfillment Action"
"5591918","Kardex_AG","33.1 - ATM","2026-07-20T04:57:11.980Z","Contractor being pursued - core skill","Bench/Rolloff","","Mismatch in Track Type vs Fieldglass"
"5596459","Orano","ABAP Developer","2026-07-15T04:57:12.034Z","Actively recruiting","Bench/Rolloff","","Mismatch in Track Type vs Fulfillment Action"
"5650518","BP INTERNATIONAL LTD","RR-06248- Package Consultant-SAP FI","2026-01-08T04:57:12.428Z","Actively recruiting","Bench/Rolloff","Y","EST Non Compliant | Mismatch in Track Type vs Fulfillment Action"
"5673522","EPIROC","Industry Packages - iScala","2026-08-31T04:57:13.128Z","Roll-off being pursued","External hire","Y","Comment Non Compliant"
"5675377","AMKOR TECHNOLOGY INC.","SAP CO Consultant (Margin Analysis)","2026-07-20T04:57:13.149Z","Actively recruiting","Bench/Rolloff","","Comment Non Compliant | Mismatch in Track Type vs Fulfillment Action"
"5675402","AMKOR TECHNOLOGY INC.","Training Developer CIC IND 1","2026-08-31T04:57:13.151Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5675403","AMKOR TECHNOLOGY INC.","Training Developer CIC IND 2","2026-08-31T04:57:13.151Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
"5675404","AMKOR TECHNOLOGY INC.","Training Developer CIC IND 3","2026-08-31T04:57:13.151Z","Roll-off being pursued","Bench/Rolloff","","Comment Non Compliant"
